Feature,Total,Frequent,Chi_square,City
houston,265,5,134.603378486,Washington
#satellite,33,33,138.333959028,Washington
#ronpaul,8,0,106.741366515,Washington
democrats,14,9,126.445934254,Washington
committee,37,18,89.3168567767,Washington
#ctc,17,14,225.347271586,Washington
amdt,3,3,108.250625695,Washington
tcb,4,2,96.5002809298,Washington
#tlot,174,111,170.404245341,Washington
homeland,6,4,105.679197124,Washington
policy,152,80,95.6022988894,Washington
bipartisan,13,12,89.000126815,Washington
government,190,91,111.224824888,Washington
dc,1734,684,1625.09227174,Washington
republican,25,14,89.0012002111,Washington
#smbiz,16,15,89.000126815,Washington
#tcot,498,285,533.560547488,Washington
boehner,4,1,110.071757496,Washington
activity,89,18,110.253463702,Washington
americans,21,3,93.3028260728,Washington
#gov20,52,41,95.0423630761,Washington
amendment,55,41,171.063059587,Washington
senate,27,16,337.142441757,Washington
house,1320,266,286.184415299,Washington
national,427,116,115.535287086,Washington
prediction,68,16,163.758026684,Washington
#smallbiz,36,34,96.5002809298,Washington
dubstep,51,32,106.450625695,Washington
sen,3656,810,89.3168567767,Washington
afghanistan,13,11,280.154113135,Washington
reform,288,172,159.280923608,Washington
rep,3193,685,115.440680481,Washington
health,1590,623,177.940565453,Washington
cnn,144,44,100.983008121,Washington
gop,173,79,187.846683826,Washington
iran,101,49,100.94856863,Washington
eniginpartner,25,25,130.250770908,Washington
wh,19989,3445,95.0423630761,Washington
redskins,64,61,103.780501162,Washington
#hcr,141,94,232.217838341,Washington
care,2053,750,208.139322281,Washington
#elc09,52,52,111.000328924,Washington
ats,3545,670,100.333769607,Washington
#p2,403,320,896.7253006,Washington
#media,99,86,332.18367505,Washington
djladyblaze,64,64,250.128056062,Washington
xm,270,57,128.43258909,Washington
washington,111,81,574.5691533,Washington
#admin,40,40,187.573388822,Washington
#askus,8,8,109.000159664,Washington
dobbs,14,5,128.208073375,Washington
arlington,12,5,132.829157195,Washington
snyder,8,2,111.000328924,Washington
lou,1537,245,89.0168042866,Washington
#noisemachine,77,76,345.254018504,Washington
republicans,13,7,97.0965355248,Washington
obama,101,43,519.412867666,Washington
md,535,134,147.434418143,Washington
#fem2,36,34,129.298389956,Washington
bill,781,358,289.53777867,Washington
mmanation,1,1,89.000126815,Washington
#dcgov,21,21,126.500380705,Washington
#fdasm,26,22,110.071757496,Washington
va,7983,1491,348.344454973,Washington
tabibonney,7,7,96.5002809298,Washington
san,2495,301,292.842064145,Washington
boston,537,7,100.780910431,Washington
dems,18,7,171.782616744,Washington
seattle,600,12,123.685100998,Washington
diego,797,1,352.549467895,Washington
#whc,15,15,89.000126815,Washington
cantor,23,1,89.000126815,Washington
bethesda,1,1,109.000159664,Washington
cmonwealth,18,18,96.5002809298,Washington
nw,1302,281,108.716872547,Washington
dcrap,19,19,138.333959028,Washington
awcchungster,28,28,119.000696408,Washington
congress,57,28,201.929009173,Washington
#dc,125,124,246.471068141,Washington
addthis,163,36,114.485417324,Washington
#healthcare,117,86,129.799919444,Washington
president,146,63,153.205536317,Washington
america,226,61,108.187129252,Washington
obamas,3,2,196.482616245,Washington
freedomworks,1,1,89.000126815,Washington
#sudan,10,10,89.000380706,Washington
playing,688,114,89.647195043,Washington
houston,265,3,124.513947352,Seattle
#retail,13,11,71.0000899049,Seattle
wishpot,40,40,127.207680046,Seattle
#mmot,61,52,194.570840584,Seattle
centurynovelty,16,16,89.000116542,Seattle
micros,39,10,112.333787554,Seattle
#whrrl,21,21,88.2504542207,Seattle
clemmons,3,2,68.8335135314,Seattle
x360,4,0,71.0000899049,Seattle
pluggd,4,4,137.667765513,Seattle
#toys,33,32,89.0003490372,Seattle
gigaompro,2,2,89.000116542,Seattle
mcginn,8,5,99.3962332318,Seattle
fremont,5,5,96.5002576963,Seattle
dc,1734,264,67.0139307166,Seattle
kitteh,9,6,71.0000899049,Seattle
amazon,68,28,133.393464969,Seattle
dwighthoward,12,12,71.0000899049,Seattle
huskies,15,7,111.008540719,Seattle
#nwen,11,11,89.0003490372,Seattle
runt,17,6,108.250573246,Seattle
gift,568,105,73.0891908148,Seattle
#tcot,498,12,71.8510202061,Seattle
kentico,6,6,83.0002172169,Seattle
x10,46,27,70.1250899049,Seattle
xmas,40,3,79.5702972733,Seattle
rey,595,104,71.0000899049,Seattle
pets,200,65,66.0285555217,Seattle
renton,15,8,71.0000899049,Seattle
kirkland,8,4,75.89613497,Seattle
sounders,25,25,107.527519493,Seattle
full,1407,269,74.3017365991,Seattle
wa,31436,6379,849.958683256,Seattle
#industry,9,9,71.0000899049,Seattle
tradein,1,0,78.0628998989,Seattle
murdered,17,3,70.1250899049,Seattle
jh,261,62,89.000116542,Seattle
card,641,173,88.9961624881,Seattle
atc,5365,979,68.3335910299,Seattle
#hr,92,83,216.426746504,Seattle
cindytingley,1,1,88.2504542207,Seattle
etf,119,21,88.0670157039,Seattle
hamster,12,2,107.248325162,Seattle
575,4166,783,89.000116542,Seattle
250,3750,657,97.6289828691,Seattle
#ois09,36,36,89.000116542,Seattle
#therapy,9,9,71.0000899049,Seattle
#shrm,22,21,119.00063795,Seattle
hawks,144,126,125.950496532,Seattle
draft,114,28,129.29281627,Seattle
#kidcudi,2,2,71.0000899049,Seattle
squiggles,1,1,89.000116542,Seattle
#web,119,21,68.8335135314,Seattle
#sjt,2,2,197.446838835,Seattle
#payscale,53,53,96.5002576963,Seattle
zhu,45,36,117.405860753,Seattle
ballard,9,9,96.211038319,Seattle
uw,243,82,166.319550444,Seattle
#tech,264,95,75.790344689,Seattle
aceo,21,3,68.3335910299,Seattle
san,2495,368,310.291817897,Seattle
puget,6,5,71.0000899049,Seattle
boston,537,9,151.062780651,Seattle
#rss,42,41,147.178715915,Seattle
seattle,600,580,2729.91732474,Seattle
yapta,35,35,78.33363497,Seattle
absolute,208,47,79.2505120039,Seattle
diego,797,18,410.837579722,Seattle
tacoma,2,0,118.124251557,Seattle
tableau,3,2,89.000116542,Seattle
seattles,21,20,89.0003490372,Seattle
#seattle,116,114,344.628906211,Seattle
#marijuana,30,28,145.434555738,Seattle
#db09,14,14,149.001013378,Seattle
added,364,104,289.697657521,Seattle
bellevue,12,12,345.67379809,Seattle
#follows4c,1,0,70.1250899049,Seattle
whrrl,43,41,96.5002576963,Seattle
techflash,6,6,67.4105141069,Seattle
#uw,1,1,88.2504542207,Seattle
#ebay,167,167,656.161575625,Seattle
wifi,54,11,112.51483572,Seattle
dawgs,10,4,79.2505120039,Seattle
showbox,3,3,70.1250899049,Seattle
350,3482,1077,105.592010463,Seattle
husky,19,9,119.00063795,Seattle
sd,3410,334,66.8325931062,Seattle
seahawks,18,16,128.167680046,Seattle
houston,265,5,226.514084135,SanDiego
motocross,8,7,89.1889542399,SanDiego
mission,440,119,101.80821978,SanDiego
sdtwestival,1,1,85.6671940643,SanDiego
winds,38,11,118.034550172,SanDiego
sdbargainmama,56,56,70.2502892445,SanDiego
broncos,12,9,93.3646925818,SanDiego
tx,350,58,89.0872595562,SanDiego
la,39569,10208,165.082092359,SanDiego
efusjon,1,0,123.12354792,SanDiego
attraction,36,24,69.5903595654,SanDiego
lt,9140,2234,220.294794014,SanDiego
wrx,3,2,76.1433845409,SanDiego
real,4770,1141,112.962467232,SanDiego
dc,1734,386,138.261709027,SanDiego
caribe,1,0,107.000980168,SanDiego
nov,794,143,125.20469872,SanDiego
betaboss,38,38,121.44557955,SanDiego
sustainable,54,19,85.4857043916,SanDiego
porn,101,38,146.018376741,SanDiego
twitter,2040,585,218.816641341,SanDiego
akajuicelee,38,38,121.44557955,SanDiego
antiaging,4,1,112.101135107,SanDiego
carlsbad,3,3,133.721852382,SanDiego
increase,200,58,71.0372491357,SanDiego
jolla,63,63,200.245186928,SanDiego
#sandiego,271,266,280.741432181,SanDiego
del,2063,540,91.9672676119,SanDiego
balboa,10,9,97.5721329623,SanDiego
sdsu,30,30,153.287904749,SanDiego
bolts,30,28,92.4852810408,SanDiego
wa,31436,7723,81.638745616,SanDiego
california,17,7,100.985705579,SanDiego
organic,105,52,90.8195346496,SanDiego
restaurant,241,103,118.569650402,SanDiego
domes,70,14,83.0005835539,SanDiego
scuba,15,10,70.0559791669,SanDiego
coronado,16,10,71.0004236113,SanDiego
anime,70,48,77.3938667854,SanDiego
lavelle,4,4,124.09229792,SanDiego
#p2,403,9,90.6377706613,SanDiego
naughty,60,46,101.746003143,SanDiego
civic,30,1,82.3629055628,SanDiego
ca,34998,8649,827.801136882,SanDiego
washington,111,1,95.2640686332,SanDiego
chula,6,5,71.0004236113,SanDiego
county,72,36,114.758094542,SanDiego
subaru,2,1,79.6745555956,SanDiego
tribune,15,2,166.251097915,SanDiego
union,143,32,107.626137702,SanDiego
chargers,205,202,558.826488542,SanDiego
tool,625,293,173.037518311,SanDiego
hotel,316,108,285.953591561,SanDiego
robbins,36,22,116.847726035,SanDiego
downtown,205,94,90.2879929248,SanDiego
obama,101,22,72.0149014918,SanDiego
homes,191,98,79.4566829558,SanDiego
sti,10448,2614,105.143837311,SanDiego
#junkmail,27,27,76.1433845409,SanDiego
aztecs,3,3,76.1433845409,SanDiego
san,2495,1172,3743.92739305,SanDiego
estate,303,159,231.114151361,SanDiego
boston,537,4,207.719182783,SanDiego
donnajfox,24,24,71.0004236113,SanDiego
diegos,2,2,95.0007690726,SanDiego
seattle,600,5,251.354123624,SanDiego
diego,797,775,4769.3349073,SanDiego
vista,28,13,70.1056586245,SanDiego
pine,259,81,71.1255835546,SanDiego
#sdcc,92,92,143.001766911,SanDiego
modification,24,20,78.1671407502,SanDiego
beach,249,135,146.94633664,SanDiego
sweat,227,90,138.24739425,SanDiego
mar,5374,1558,156.5007743,SanDiego
25000,11,1,85.6671940643,SanDiego
oceanside,1,1,77.2197723292,SanDiego
ritmo,14,14,114.112167327,SanDiego
padres,44,42,162.091548375,SanDiego
macsidewayz,38,38,121.44557955,SanDiego
mesa,40,13,101.746003143,SanDiego
las,6344,1703,71.056839969,SanDiego
#sdut,349,349,319.561339516,SanDiego
#cpa,32,30,85.6671940643,SanDiego
se,51159,12992,84.3046165672,SanDiego
sd,3410,1763,814.504995906,SanDiego
